"Date","Persian_Date","Open","Low","High","Close"
"12/01/2011","1390/09/10","1,350","1,350","1,350","1,350"
"12/03/2011","1390/09/12","1,365","1,365","1,365","1,365"
"12/04/2011","1390/09/13","1,361","1,361","1,361","1,361"
"12/07/2011","1390/09/16","1,365","1,365","1,365","1,365"
"12/08/2011","1390/09/17","1,355","1,355","1,355","1,355"
"12/10/2011","1390/09/19","1,345","1,345","1,345","1,345"
"12/11/2011","1390/09/20","1,345","1,345","1,345","1,345"
"27/11/2011","1390/09/06","1,370","1,370","1,370","1,370"
"28/11/2011","1390/09/07","1,344","1,344","1,344","1,344"
"29/11/2011","1390/09/08","1,335","1,335","1,335","1,335"
"30/11/2011","1390/09/09","1,340","1,340","1,340","1,340"
"12/12/2011","1390/09/21","1,353","1,353","1,353","1,353"
"13/12/2011","1390/09/22","1,363","1,363","1,363","1,363"
"14/12/2011","1390/09/23","1,377","1,377","1,377","1,377"
"15/12/2011","1390/09/24","1,371","1,371","1,371","1,371"
"17/12/2011","1390/09/26","1,384","1,384","1,384","1,384"
"18/12/2011","1390/09/27","1,408","1,408","1,408","1,408"
"19/12/2011","1390/09/28","1,450","1,450","1,450","1,450"
"20/12/2011","1390/09/29","1,530","1,530","1,530","1,530"
"21/12/2011","1390/09/30","1,515","1,515","1,515","1,515"
"22/12/2011","1390/10/01","1,423","1,423","1,423","1,423"
"24/12/2011","1390/10/03","1,435","1,435","1,435","1,435"
"25/12/2011","1390/10/04","1,480","1,480","1,480","1,480"
"26/12/2011","1390/10/05","1,525","1,525","1,525","1,525"
"27/12/2011","1390/10/06","1,515","1,515","1,515","1,515"
"28/12/2011","1390/10/07","1,520","1,520","1,520","1,520"
"29/12/2011","1390/10/08","1,522","1,522","1,522","1,522"
"31/12/2011","1390/10/10","1,555","1,555","1,555","1,555"
"01/01/2012","1390/10/11","1,590","1,590","1,590","1,590"
"02/01/2012","1390/11/12","1,830","1,830","1,830","1,830"
"03/01/2012","1390/12/11","1,925","1,925","1,925","1,925"
"05/01/2012","1391/02/12","1,710","1,710","1,710","1,710"
"07/01/2012","1391/04/11","1,989","1,952","1,989","1,953"
"08/01/2012","1391/05/11","1,982","1,980","2,008","2,007"
"09/01/2012","1391/06/11","2,185","2,177","2,185","2,180"
"10/01/2012","1391/07/10","2,968","2,968","3,470","3,470"
"11/01/2012","1391/08/11","3,290","3,290","3,290","3,290"
"12/01/2012","1391/09/11","2,950","2,950","2,950","2,950"
"16/01/2012","1390/10/26","1,690","1,690","1,690","1,690"
"17/01/2012","1390/10/27","1,740","1,740","1,740","1,740"
"18/01/2012","1390/10/28","1,820","1,820","1,820","1,820"
"19/01/2012","1390/10/29","1,820","1,820","1,820","1,820"
"21/01/2012","1390/11/01","1,900","1,900","1,900","1,900"
"23/01/2012","1390/11/03","2,100","2,100","2,100","2,100"
"25/01/2012","1390/11/05","1,900","1,900","1,900","1,900"
"26/01/2012","1390/11/06","1,700","1,700","1,700","1,700"
"28/01/2012","1390/11/08","1,770","1,770","1,770","1,770"
"29/01/2012","1390/11/09","1,830","1,830","1,830","1,830"
"30/01/2012","1390/11/10","1,830","1,830","1,830","1,830"
"01/02/2012","1390/10/12","1,740","1,740","1,740","1,740"
"04/02/2012","1391/01/14","1,912","1,912","1,912","1,912"
"05/02/2012","1391/02/13","1,709","1,709","1,709","1,709"
"06/02/2012","1391/03/13","1,777","1,777","1,777","1,777"
"07/02/2012","1391/04/12","1,946","1,928","1,956","1,943"
"08/02/2012","1391/05/12","2,008","2,008","2,025","2,019"
"09/02/2012","1391/06/12","2,178","2,159","2,178","2,159"
"10/02/2012","1391/07/11","3,330","3,330","3,610","3,610"
"11/02/2012","1391/08/12","3,290","3,290","3,290","3,290"
"12/02/2012","1391/09/12","2,930","2,930","2,930","2,930"
"13/02/2012","1390/11/24","1,900","1,900","1,900","1,900"
"14/02/2012","1390/11/25","1,935","1,935","1,935","1,935"
"15/02/2012","1390/11/26","1,950","1,950","1,950","1,950"
"16/02/2012","1390/11/27","1,960","1,960","1,960","1,960"
"18/02/2012","1390/11/29","1,940","1,940","1,940","1,940"
"19/02/2012","1390/11/30","1,920","1,920","1,920","1,920"
"20/02/2012","1390/12/01","1,940","1,940","1,940","1,940"
"21/02/2012","1390/12/02","1,945","1,945","1,945","1,945"
"22/02/2012","1390/12/03","1,935","1,935","1,935","1,935"
"23/02/2012","1390/12/04","1,935","1,935","1,935","1,935"
"26/02/2012","1390/12/07","1,930","1,930","1,930","1,930"
"27/02/2012","1390/12/08","1,870","1,870","1,870","1,870"
"28/02/2012","1390/12/09","1,850","1,850","1,850","1,850"
"29/02/2012","1390/12/10","1,920","1,920","1,920","1,920"
"01/03/2012","1390/10/13","1,620","1,620","1,620","1,620"
"03/03/2012","1390/12/13","1,925","1,925","1,925","1,925"
"04/03/2012","1391/01/15","1,900","1,900","1,900","1,900"
"05/03/2012","1391/02/14","1,705","1,705","1,705","1,705"
"07/03/2012","1391/04/13","1,941","1,940","1,976","1,976"
"09/03/2012","1391/06/13","2,150","2,133","2,173","2,173"
"10/03/2012","1391/07/12","3,570","3,000","3,630","3,400"
"11/03/2012","1391/08/13","3,290","3,290","3,290","3,290"
"12/03/2012","1391/09/13","2,930","2,930","2,930","2,930"
"13/03/2012","1390/12/23","1,880","1,880","1,880","1,880"
"14/03/2012","1390/12/24","1,860","1,860","1,860","1,860"
"15/03/2012","1390/12/25","1,850","1,850","1,850","1,850"
"17/03/2012","1390/12/27","1,925","1,925","1,925","1,925"
"18/03/2012","1390/12/28","1,915","1,915","1,915","1,915"
"25/03/2012","1391/01/06","1,890","1,890","1,890","1,890"
"26/03/2012","1391/01/07","1,900","1,900","1,900","1,900"
"28/03/2012","1391/01/09","1,920","1,920","1,920","1,920"
"29/03/2012","1391/01/10","1,920","1,920","1,920","1,920"
"01/04/2012","1390/10/14","1,580","1,580","1,580","1,580"
"02/04/2012","1390/11/15","1,775","1,775","1,775","1,775"
"03/04/2012","1390/12/14","1,900","1,900","1,900","1,900"
"04/04/2012","1391/01/16","1,895","1,895","1,895","1,895"
"07/04/2012","1391/04/14","1,980","1,961","1,983","1,968"
"08/04/2012","1391/05/14","2,007","2,002","2,017","2,008"
"09/04/2012","1391/06/14","2,182","2,175","2,191","2,182"
"10/04/2012","1391/07/13","3,100","2,960","3,200","3,000"
"11/04/2012","1391/08/14","3,100","2,950","3,100","2,950"
"12/04/2012","1391/09/14","2,910","2,910","2,910","2,910"
"14/04/2012","1391/01/26","1,880","1,880","1,880","1,880"
"15/04/2012","1391/01/27","1,730","1,730","1,730","1,730"
"16/04/2012","1391/01/28","1,780","1,780","1,780","1,780"
"17/04/2012","1391/01/29","1,800","1,800","1,800","1,800"
"18/04/2012","1391/01/30","1,824","1,824","1,824","1,824"
"19/04/2012","1391/01/31","1,818","1,818","1,818","1,818"
"21/04/2012","1391/02/02","1,803","1,803","1,803","1,803"
"22/04/2012","1391/02/03","1,795","1,795","1,795","1,795"
"23/04/2012","1391/02/04","1,779","1,779","1,779","1,779"
"24/04/2012","1391/02/05","1,758","1,758","1,758","1,758"
"26/04/2012","1391/02/07","1,748","1,748","1,748","1,748"
"28/04/2012","1391/02/09","1,665","1,665","1,665","1,665"
"29/04/2012","1391/02/10","1,734","1,734","1,734","1,734"
"30/04/2012","1391/02/11","1,725","1,725","1,725","1,725"
"01/05/2012","1390/10/15","1,598","1,598","1,598","1,598"
"02/05/2012","1390/11/16","1,850","1,850","1,850","1,850"
"03/05/2012","1390/12/15","1,910","1,910","1,910","1,910"
"04/05/2012","1391/01/17","1,900","1,900","1,900","1,900"
"05/05/2012","1391/02/16","1,678","1,678","1,678","1,678"
"06/05/2012","1391/03/16","1,768","1,768","1,768","1,768"
"08/05/2012","1391/05/15","2,004","2,004","2,048","2,044"
"09/05/2012","1391/06/15","2,182","2,181","2,219","2,218"
"11/05/2012","1391/08/15","2,950","2,950","2,950","2,950"
"12/05/2012","1391/09/15","2,930","2,930","2,930","2,930"
"13/05/2012","1391/02/24","1,575","1,575","1,575","1,575"
"14/05/2012","1391/02/25","1,625","1,625","1,625","1,625"
